INPUT:text,OUTPUT:disgust_rage,OUTPUT:fear_surprise,OUTPUT:shame_excitement,OUTPUT:enjoyment_distress,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id
"Приехала в свой родной город на выходные, от знакомых узнала, что дядя подруги всем рассказывает, что я профессионально сосу. Прикол в том, что до этого я, если и пересекалась с ним, только в компании с его женой, его детей и моей подруги. Порадовалась, что уехала из этой клоаки.",2,3,0,2,0000c85e32--5eaeaffcf105d55e0558b8dc,ba0f9aa1418f78e8114b9ecd43e6678a
,,,,,,
"У моей мамы два с половиной года назад отказали почки. Полностью. Выживала она все это время гемодиализом через день. Были записаны в очередь на трансплантацию почки, но доноров подходящих не было. ""Тревожный"" чемоданчик был всегда собран. И тут раздаётся ночью звонок - вызывают на операцию! Мы приезжаем в больницу, врач объясняет все нюансы, и маму увозят. Операция длилась пять часов, мама сейчас в реанимации на аппарате ИВЛ. Она так об этом мечтала! Но прогнозы врачей неутешительные.   ",0,-4,0,5,0000c85e32--5eaeaffd9fae6e3ef812da72,d9400e95cc3f9de6f417543d0b1db361
,,,,,,
"Два года назад племянника моего мужа сбила машина возле поста ГАИ -водители гоняли на перегонки. Два года он пролежал овощем с постоянной температурой, избытком ликвора в голове, операциями, с трубкой в черепе, в горле и в желудке, весь раздутый и даже не открывающий толком глаза. И вот он умер. И я очень надеюсь, что этот недомужик, сбивший его, получит свое.",5,-2,0,5,0000c85e32--5eaeaffe8ba97d6d5cad5c8f,240d5b7897f98c119cd892e34295587e
,,,,,,
"Год без секса, но больше всего скучаю не по физической близости, а по поцелуям. Иногда смотрю симпатичного мужчину и думаю о поцелуе без обязательств.",0,0,4,1,0000c85e32--5eaeaffef3c08d2b7fc7713b,33e30c087269cb352ef843c6a32ab43d
,,,,,,
"На днях узнала что беременна . Мой жених уходит к своей бывшей , зная про беременность . Сижу рыдаю , не знаю как быть , живу на съемной , родителей нет . да и вообще нет не кого кто мог бы помочь . Казалось бы безысходность ... но ощущение того что во мне мой самый родной человек , дает мне силы жить дальше) Нам 6 недель )))",0,-5,-3,3,0000c85e32--5eaeafff2c9ba96adb5ed115,5061ce14eefa6a2f1e2a51a880858695
,,,,,,
"В начале лета одна моя хорошая подруга предложила секс по дружбе. Мы провели неделю на море, днём загорая, а вечером удовлетворяя друг друга в номере отеля. Вернувшись в город, вели себя как ни в чем ни бывало, общались, гуляли с нашей компанией. Выяснилось, что у неё все это время был парень. Потребовал объяснений, сказала, что меня бывшая нахвалила в постели, а её молодой человек «не тянет», но она его любит, так что бросать не собирается, но «трахаться-то хочется». Паршиво и стыдно перед парнем.",-3,3,-5,4,0000c85e32--5eaeaffffa4ad71590f12131,dd5e0be0abe7429579a1bafdfb5af516
,,,,,,
"В универе на большом перерыве пошли с девочками в суши перекусить. Суши люблю, но желудок слабоват, поэтому после трапезы побежала в туалет. Сделала грязные дела и пошла на пару. Чувствую, говном пахнет. Оказалось, когда подтиралась, не заметила и провела ногтями. В итоге выковыривала говно влажными салфетками из-под ногтей. И молилась, чтобы никто не заметил. Благо сидела в тот день одна за задней партой. И неясно как так мыла руки, что не заметила этого.",5,5,5,5,0000c85e32--5eaeb00031d45041cf2cd27e,c79879f38641bacbc6d89359af043a0b
,,,,,,
"Постепенно появляется ощущение, что у меня легкое раздвоение личности. Одна сторона меня искренняя с собой, но очень замкнута на людях, а другая - активная, думает только после того, как что-либо сделала, но не показывает реальных чувств. И я не могу контролировать их ""смену"" - все уже автоматически. Не могу понять, какая я на самом деле. Только мне одиноко от этого - что наедине с собой, что с людьми. Я не могу быть ""настоящей"" на людях. Я не понимаю себя. Я не доверяю себе. Я боюсь себя...   ",0,0,0,5,0000c85e32--5eaeb0004a88742b274b3aa2,b7954d293de7714a377a21ea30875dfd
,,,,,,
